lib,dim,nb_points,time
SMT,5,10,0.0003120399996987544
SMT,5,13,0.0002797599998302758
SMT,5,15,0.00027065999965998345
SMT,10,10,0.0006905800000822637
SMT,10,13,0.0003088200006459374
SMT,10,15,0.0002994000002217945
SMT,20,10,0.0003685600000608247
SMT,20,13,0.0003700799999933224
SMT,20,15,0.0003830599998764228
SMT,100,10,0.0009112400002777576
SMT,100,13,0.0009087599995837081
SMT,100,15,0.0009282200000598096
SMT,200,10,0.004697220000525704
SMT,200,13,0.0019491999999445397
SMT,200,15,0.0036997000002884305
SMT,500,10,0.007494160000351258
SMT,500,13,0.009811880000052042
SMT,500,15,0.008766960000502876
EGOBOX,5,10,0.00012113999982830138
EGOBOX,5,13,5.311999993864447e-05
EGOBOX,5,15,4.9759999819798394e-05
EGOBOX,10,10,7.756000049994328e-05
EGOBOX,10,13,7.447999960277229e-05
EGOBOX,10,15,7.709999990765937e-05
EGOBOX,20,10,0.00015807999952812679
EGOBOX,20,13,0.00014510000037262216
EGOBOX,20,15,0.00012841999996453523
EGOBOX,100,10,0.0006620799998927396
EGOBOX,100,13,0.0006630600000789855
EGOBOX,100,15,0.0007176999999501277
EGOBOX,200,10,0.001297319999866886
EGOBOX,200,13,0.0012350400000286754
EGOBOX,200,15,0.0014183599996613339
EGOBOX,500,10,0.00344247999964864
EGOBOX,500,13,0.003088900000147987
EGOBOX,500,15,0.0028370400003041142
