lib,dim,nb_points,time
SMT_2.3.0,5,10,0.00026691499988373835
SMT_2.3.0,5,50,0.00025762500008568167
SMT_2.3.0,5,100,0.00029724500000156696
SMT_2.3.0,5,250,0.00033195500000147147
SMT_2.3.0,5,500,0.0006108249999670079
SMT_2.3.0,5,1000,0.00046861499995429765
SMT_2.3.0,10,10,0.0009393150001415051
SMT_2.3.0,10,50,0.0009667750000517117
SMT_2.3.0,10,100,0.0010021550000601565
SMT_2.3.0,10,250,0.0009837249999691267
SMT_2.3.0,10,500,0.0008906950000891811
SMT_2.3.0,10,1000,0.001362315000005765
SMT_2.3.0,20,10,0.0012221900000440656
SMT_2.3.0,20,50,0.0011752399999750197
SMT_2.3.0,20,100,0.0007113050000043586
SMT_2.3.0,20,250,0.000933929999882821
SMT_2.3.0,20,500,0.00167681500006438
SMT_2.3.0,20,1000,0.0015795149998666601
SMT_2.3.0,100,10,0.0013233199999376666
SMT_2.3.0,100,50,0.001116349999938393
SMT_2.3.0,100,100,0.0028835150000304567
SMT_2.3.0,100,250,0.0026613550000547546
SMT_2.3.0,100,500,0.005463965000126336
SMT_2.3.0,100,1000,0.005335120000017924
SMT_2.3.0,200,10,0.003524534999996831
SMT_2.3.0,200,50,0.003090814999995928
SMT_2.3.0,200,100,0.0022622249998676125
SMT_2.3.0,200,250,0.0037657450000551764
SMT_2.3.0,200,500,0.007087540000065928
SMT_2.3.0,200,1000,0.011702510000031908
SMT_2.3.0,500,10,0.0070463949999975736
SMT_2.3.0,500,50,0.006442450000031385
SMT_2.3.0,500,100,0.008217005000005884
SMT_2.3.0,500,250,0.012977464999858057
SMT_2.3.0,500,500,0.01604937499996595
SMT_2.3.0,500,1000,0.031144270000004325
EGOBOX_0.15.1,5,10,6.897499988554046e-05
EGOBOX_0.15.1,5,50,5.647500001941808e-05
EGOBOX_0.15.1,5,100,6.780500007153023e-05
EGOBOX_0.15.1,5,250,0.00010316499992768513
EGOBOX_0.15.1,5,500,0.0001660500000070897
EGOBOX_0.15.1,5,1000,0.0002834400000210735
EGOBOX_0.15.1,10,10,7.705500011070398e-05
EGOBOX_0.15.1,10,50,0.00010583500006760005
EGOBOX_0.15.1,10,100,0.0001247549998879549
EGOBOX_0.15.1,10,250,0.00018582499997137346
EGOBOX_0.15.1,10,500,0.0003075500000704778
EGOBOX_0.15.1,10,1000,0.0005556350000915699
EGOBOX_0.15.1,20,10,0.0001396749999912572
EGOBOX_0.15.1,20,50,0.00017050500009645474
EGOBOX_0.15.1,20,100,0.00019908000012947014
EGOBOX_0.15.1,20,250,0.0002511749999030144
EGOBOX_0.15.1,20,500,0.00036528000000544123
EGOBOX_0.15.1,20,1000,0.0010442850001709304
EGOBOX_0.15.1,100,10,0.0005688550001650583
EGOBOX_0.15.1,100,50,0.0007640750000064145
EGOBOX_0.15.1,100,100,0.0006550099999003578
EGOBOX_0.15.1,100,250,0.001310110000122222
EGOBOX_0.15.1,100,500,0.0017646700000113924
EGOBOX_0.15.1,100,1000,0.0035041450000790064
EGOBOX_0.15.1,200,10,0.0003995999999460764
EGOBOX_0.15.1,200,50,0.0005192700000407058
EGOBOX_0.15.1,200,100,0.0006696450000163168
EGOBOX_0.15.1,200,250,0.0023748999999952504
EGOBOX_0.15.1,200,500,0.0068987450000349785
EGOBOX_0.15.1,200,1000,0.010831759999928182
EGOBOX_0.15.1,500,10,0.0013756399999692802
EGOBOX_0.15.1,500,50,0.0023480399999243674
EGOBOX_0.15.1,500,100,0.0031447499999558205
EGOBOX_0.15.1,500,250,0.005294994999894697
EGOBOX_0.15.1,500,500,0.01046774500009633
EGOBOX_0.15.1,500,1000,0.020610314999976252
