lib,dim,nb_points,time
SMT_2.9.0,5,10,0.00029713999829255043
SMT_2.9.0,5,50,0.00047505999682471154
SMT_2.9.0,5,100,0.000456919998396188
SMT_2.9.0,5,250,0.0005722999980207532
SMT_2.9.0,5,500,0.0006367199996020645
SMT_2.9.0,5,1000,0.0007206800044514238
SMT_2.9.0,10,10,0.0009564400010276586
SMT_2.9.0,10,50,0.0004365999950096011
SMT_2.9.0,10,100,0.00039950000355020164
SMT_2.9.0,10,250,0.0008329800039064139
SMT_2.9.0,10,500,0.0006238800007849932
SMT_2.9.0,10,1000,0.0009346799983177334
SMT_2.9.0,20,10,0.0009118599991779774
SMT_2.9.0,20,50,0.001252399996155873
SMT_2.9.0,20,100,0.00048470000037923453
SMT_2.9.0,20,250,0.0005755599995609373
SMT_2.9.0,20,500,0.0021659000020008536
SMT_2.9.0,20,1000,0.001127660000929609
SMT_2.9.0,100,10,0.002811640000436455
SMT_2.9.0,100,50,0.0029828800004906954
SMT_2.9.0,100,100,0.0035791800008155407
SMT_2.9.0,100,250,0.0036529800039716066
SMT_2.9.0,100,500,0.002756479999516159
SMT_2.9.0,100,1000,0.008285639999667183
SMT_2.9.0,200,10,0.004143939999630674
SMT_2.9.0,200,50,0.0019948999979533255
SMT_2.9.0,200,100,0.006630399997811764
SMT_2.9.0,200,250,0.008443459996487945
SMT_2.9.0,200,500,0.00511450000340119
SMT_2.9.0,200,1000,0.009110059996601194
SMT_2.9.0,500,10,0.004236020002281293
SMT_2.9.0,500,50,0.010467939998488874
SMT_2.9.0,500,100,0.00984776000259444
SMT_2.9.0,500,250,0.01248628000030294
SMT_2.9.0,500,500,0.020638039999175815
SMT_2.9.0,500,1000,0.022054560005199165
EGOBOX_0.25.1,5,10,5.6680000852793455e-05
EGOBOX_0.25.1,5,50,5.381999653764069e-05
EGOBOX_0.25.1,5,100,6.682000239379703e-05
EGOBOX_0.25.1,5,250,8.483999990858138e-05
EGOBOX_0.25.1,5,500,0.00012096000136807561
EGOBOX_0.25.1,5,1000,6.884000031277537e-05
EGOBOX_0.25.1,10,10,2.6679999427869917e-05
EGOBOX_0.25.1,10,50,3.055999986827374e-05
EGOBOX_0.25.1,10,100,0.00010326000046916306
EGOBOX_0.25.1,10,250,0.00015386000159196557
EGOBOX_0.25.1,10,500,7.738000131212175e-05
EGOBOX_0.25.1,10,1000,0.0003739000007044524
EGOBOX_0.25.1,20,10,0.0001263599959202111
EGOBOX_0.25.1,20,50,0.0001488800044171512
EGOBOX_0.25.1,20,100,6.059999577701092e-05
EGOBOX_0.25.1,20,250,0.00025808000355027617
EGOBOX_0.25.1,20,500,0.0003180600004270673
EGOBOX_0.25.1,20,1000,0.0007419599976856261
EGOBOX_0.25.1,100,10,0.0005432800040580332
EGOBOX_0.25.1,100,50,0.0006411400041542948
EGOBOX_0.25.1,100,100,0.0007500800013076514
EGOBOX_0.25.1,100,250,0.00046758000389672815
EGOBOX_0.25.1,100,500,0.0017874800018034876
EGOBOX_0.25.1,100,1000,0.003167060000123456
EGOBOX_0.25.1,200,10,0.000573680002707988
EGOBOX_0.25.1,200,50,0.0006581800000276417
EGOBOX_0.25.1,200,100,0.0012950200005434453
EGOBOX_0.25.1,200,250,0.001284380001015961
EGOBOX_0.25.1,200,500,0.002457680000225082
EGOBOX_0.25.1,200,1000,0.006712399999378249
EGOBOX_0.25.1,500,10,0.00120691999909468
EGOBOX_0.25.1,500,50,0.0012531800020951778
EGOBOX_0.25.1,500,100,0.003759979997994378
EGOBOX_0.25.1,500,250,0.0037045399949420244
EGOBOX_0.25.1,500,500,0.010439459996996447
EGOBOX_0.25.1,500,1000,0.013407319999532773
