lib,dim,nb_points,time
SMT_2.3.0,5,10,0.0005651200001011603
SMT_2.3.0,5,50,0.0019041600004129577
SMT_2.3.0,5,100,0.002120519999880344
SMT_2.3.0,5,250,0.0038923400003113783
SMT_2.3.0,5,500,0.007678299999679439
SMT_2.3.0,5,1000,0.021981280000181867
SMT_2.3.0,10,10,0.0006230800005141646
SMT_2.3.0,10,50,0.0007698200002778322
SMT_2.3.0,10,100,0.0010767799998575357
SMT_2.3.0,10,250,0.005255439999746159
SMT_2.3.0,10,500,0.008756980000180192
SMT_2.3.0,10,1000,0.026584100000036415
SMT_2.3.0,20,10,0.0025170399996568447
SMT_2.3.0,20,50,0.0018132400000467896
SMT_2.3.0,20,100,0.002758620000531664
SMT_2.3.0,20,250,0.005210720000468428
SMT_2.3.0,20,500,0.0125229200006288
SMT_2.3.0,20,1000,0.03675272000036785
SMT_2.3.0,100,10,0.004836320000322303
SMT_2.3.0,100,50,0.005412399999477202
SMT_2.3.0,100,100,0.009623340000689495
SMT_2.3.0,100,250,0.022262819999741622
SMT_2.3.0,100,500,0.04575815999996848
SMT_2.3.0,100,1000,0.14297501999972156
SMT_2.3.0,200,10,0.00417163999954937
SMT_2.3.0,200,50,0.013036399999691639
SMT_2.3.0,200,100,0.014528760000393959
SMT_2.3.0,200,250,0.02171749999979511
SMT_2.3.0,200,500,0.07279009999983828
SMT_2.3.0,200,1000,0.2663802199997008
SMT_2.3.0,500,10,0.009324899999774061
SMT_2.3.0,500,50,0.01306064000018523
SMT_2.3.0,500,100,0.019871180000336608
SMT_2.3.0,500,250,0.06160154000026523
SMT_2.3.0,500,500,0.1967480200000864
SMT_2.3.0,500,1000,0.627064199999586
EGOBOX_0.15.3,5,10,0.00014031999962753615
EGOBOX_0.15.3,5,50,0.0004799200003617443
EGOBOX_0.15.3,5,100,0.001382039999589324
EGOBOX_0.15.3,5,250,0.001454179999564076
EGOBOX_0.15.3,5,500,0.007815819999814266
EGOBOX_0.15.3,5,1000,0.048242800000298305
EGOBOX_0.15.3,10,10,0.00013715999957639725
EGOBOX_0.15.3,10,50,0.0004408799999509938
EGOBOX_0.15.3,10,100,0.001230339999892749
EGOBOX_0.15.3,10,250,0.003391879999981029
EGOBOX_0.15.3,10,500,0.01804617999951006
EGOBOX_0.15.3,10,1000,0.059471379999740746
EGOBOX_0.15.3,20,10,0.00013706000027013943
EGOBOX_0.15.3,20,50,0.0007344600002397783
EGOBOX_0.15.3,20,100,0.002111039999726927
EGOBOX_0.15.3,20,250,0.010782060000201455
EGOBOX_0.15.3,20,500,0.01967387999975472
EGOBOX_0.15.3,20,1000,0.06553333999981988
EGOBOX_0.15.3,100,10,0.0009408400001120754
EGOBOX_0.15.3,100,50,0.003535820000251988
EGOBOX_0.15.3,100,100,0.003682280000066385
EGOBOX_0.15.3,100,250,0.03644104000049993
EGOBOX_0.15.3,100,500,0.07781681999986176
EGOBOX_0.15.3,100,1000,0.3130370200000471
EGOBOX_0.15.3,200,10,0.0018374799998127854
EGOBOX_0.15.3,200,50,0.002300139999715611
EGOBOX_0.15.3,200,100,0.01503683999981149
EGOBOX_0.15.3,200,250,0.05180130000007921
EGOBOX_0.15.3,200,500,0.1668349200001103
EGOBOX_0.15.3,200,1000,0.6557172599998011
EGOBOX_0.15.3,500,10,0.0014598200003092642
EGOBOX_0.15.3,500,50,0.005806939999456517
EGOBOX_0.15.3,500,100,0.028959999999642605
EGOBOX_0.15.3,500,250,0.10534451999992597
EGOBOX_0.15.3,500,500,0.47162957999971694
EGOBOX_0.15.3,500,1000,1.8639833200002613
