lib,dim,nb_points,time
SMT_2.3.0,5,10,0.0005925249999563676
SMT_2.3.0,5,50,0.000261789999967732
SMT_2.3.0,5,100,0.00029911499987065324
SMT_2.3.0,5,250,0.0009417900000698864
SMT_2.3.0,5,500,0.00042289499997423264
SMT_2.3.0,5,1000,0.0012695249999524095
SMT_2.3.0,10,10,0.0009277500001189764
SMT_2.3.0,10,50,0.000512075000006007
SMT_2.3.0,10,100,0.0005694350000339909
SMT_2.3.0,10,250,0.0006524099999296595
SMT_2.3.0,10,500,0.0007028499998341431
SMT_2.3.0,10,1000,0.0010402500000054715
SMT_2.3.0,20,10,0.0004148750000240398
SMT_2.3.0,20,50,0.00038793999992776663
SMT_2.3.0,20,100,0.00046768499996687753
SMT_2.3.0,20,250,0.0010179400000197348
SMT_2.3.0,20,500,0.0016836799999509823
SMT_2.3.0,20,1000,0.0013457650000418652
SMT_2.3.0,100,10,0.002487764999932551
SMT_2.3.0,100,50,0.0029084849998980643
SMT_2.3.0,100,100,0.0024951499999588123
SMT_2.3.0,100,250,0.003228279999893857
SMT_2.3.0,100,500,0.0038404450000598445
SMT_2.3.0,100,1000,0.007181170000148995
SMT_2.3.0,200,10,0.0025220550000085496
SMT_2.3.0,200,50,0.0024136649999491055
SMT_2.3.0,200,100,0.003039619999981369
SMT_2.3.0,200,250,0.004621129999941331
SMT_2.3.0,200,500,0.005930665000050794
SMT_2.3.0,200,1000,0.011748850000003586
SMT_2.3.0,500,10,0.004357940000045346
SMT_2.3.0,500,50,0.0057845400000587684
SMT_2.3.0,500,100,0.005652200000076846
SMT_2.3.0,500,250,0.012242005000007338
SMT_2.3.0,500,500,0.016133260000060545
SMT_2.3.0,500,1000,0.026892064999992728
EGOBOX_0.15.1,5,10,3.452000000834232e-05
EGOBOX_0.15.1,5,50,1.949500001501292e-05
EGOBOX_0.15.1,5,100,2.39950000832323e-05
EGOBOX_0.15.1,5,250,3.662500002974411e-05
EGOBOX_0.15.1,5,500,5.971000009594718e-05
EGOBOX_0.15.1,5,1000,0.00010328500011382857
EGOBOX_0.15.1,10,10,2.7849999969475903e-05
EGOBOX_0.15.1,10,50,3.3184999847435395e-05
EGOBOX_0.15.1,10,100,4.133500005991664e-05
EGOBOX_0.15.1,10,250,0.00022136000006867107
EGOBOX_0.15.1,10,500,0.00025771999989956387
EGOBOX_0.15.1,10,1000,0.00032227000010607296
EGOBOX_0.15.1,20,10,5.676500004483387e-05
EGOBOX_0.15.1,20,50,6.927499998710118e-05
EGOBOX_0.15.1,20,100,8.942500007833588e-05
EGOBOX_0.15.1,20,250,0.00015089500011526978
EGOBOX_0.15.1,20,500,0.00028175999996165045
EGOBOX_0.15.1,20,1000,0.0005020049999075127
EGOBOX_0.15.1,100,10,0.00023776500001986277
EGOBOX_0.15.1,100,50,0.00028462500013120006
EGOBOX_0.15.1,100,100,0.0010792250001031788
EGOBOX_0.15.1,100,250,0.0010664949999409147
EGOBOX_0.15.1,100,500,0.00233845000002475
EGOBOX_0.15.1,100,1000,0.0035996750000776958
EGOBOX_0.15.1,200,10,0.0006304050000835559
EGOBOX_0.15.1,200,50,0.001006980000056501
EGOBOX_0.15.1,200,100,0.0013912450000134412
EGOBOX_0.15.1,200,250,0.0029761300000245685
EGOBOX_0.15.1,200,500,0.00679075499992905
EGOBOX_0.15.1,200,1000,0.010625695000089763
EGOBOX_0.15.1,500,10,0.002527225000085309
EGOBOX_0.15.1,500,50,0.0042426899999554735
EGOBOX_0.15.1,500,100,0.005058925000048476
EGOBOX_0.15.1,500,250,0.012259925000034855
EGOBOX_0.15.1,500,500,0.010233429999971122
EGOBOX_0.15.1,500,1000,0.04441326000014669
