lib,dim,nb_points,time
SMT_2.3.0,5,10,0.000940699999773642
SMT_2.3.0,5,50,0.000830100000166567
SMT_2.3.0,5,100,0.0008483800003887155
SMT_2.3.0,5,250,0.0005063999997219071
SMT_2.3.0,5,500,0.0003859000004013069
SMT_2.3.0,5,1000,0.00045479999971576035
SMT_2.3.0,10,10,0.0004017200000816956
SMT_2.3.0,10,50,0.00040979999976116234
SMT_2.3.0,10,100,0.000504259999433998
SMT_2.3.0,10,250,0.0006626800000958611
SMT_2.3.0,10,500,0.0008248000005551149
SMT_2.3.0,10,1000,0.0008801399999356363
SMT_2.3.0,20,10,0.0005192399999941699
SMT_2.3.0,20,50,0.00044714000032399783
SMT_2.3.0,20,100,0.00045903999998699876
SMT_2.3.0,20,250,0.0005584799997450318
SMT_2.3.0,20,500,0.0007682399998884648
SMT_2.3.0,20,1000,0.0010484999998880084
SMT_2.3.0,100,10,0.0008764199999859556
SMT_2.3.0,100,50,0.001003060000221012
SMT_2.3.0,100,100,0.003581799999665236
SMT_2.3.0,100,250,0.003109319999930449
SMT_2.3.0,100,500,0.0027574399995501154
SMT_2.3.0,100,1000,0.004105100000015227
SMT_2.3.0,200,10,0.0031311999999161346
SMT_2.3.0,200,50,0.0053462800002307635
SMT_2.3.0,200,100,0.0035849399995640852
SMT_2.3.0,200,250,0.0036438800001633354
SMT_2.3.0,200,500,0.004684439999982715
SMT_2.3.0,200,1000,0.010540900000341935
SMT_2.3.0,500,10,0.0034423799996147865
SMT_2.3.0,500,50,0.004081639999640174
SMT_2.3.0,500,100,0.0048851399995328395
SMT_2.3.0,500,250,0.012040759999945295
SMT_2.3.0,500,500,0.01343189999970491
SMT_2.3.0,500,1000,0.03347157999960473
EGOBOX_0.15.3,5,10,3.700000015669502e-05
EGOBOX_0.15.3,5,50,2.6799999614013358e-05
EGOBOX_0.15.3,5,100,3.06400004774332e-05
EGOBOX_0.15.3,5,250,4.0539999463362617e-05
EGOBOX_0.15.3,5,500,5.863999977009371e-05
EGOBOX_0.15.3,5,1000,0.00010175999996135943
EGOBOX_0.15.3,10,10,3.116000007139519e-05
EGOBOX_0.15.3,10,50,3.527999942889437e-05
EGOBOX_0.15.3,10,100,4.234000007272698e-05
EGOBOX_0.15.3,10,250,6.456000046455302e-05
EGOBOX_0.15.3,10,500,0.00010523999953875318
EGOBOX_0.15.3,10,1000,0.00018803999992087484
EGOBOX_0.15.3,20,10,9.735999992699362e-05
EGOBOX_0.15.3,20,50,0.00010257999965688214
EGOBOX_0.15.3,20,100,8.331999997608363e-05
EGOBOX_0.15.3,20,250,0.00018576000002212822
EGOBOX_0.15.3,20,500,0.0004064000000653323
EGOBOX_0.15.3,20,1000,0.0005950799997663126
EGOBOX_0.15.3,100,10,0.0002617400001327042
EGOBOX_0.15.3,100,50,0.00028043999991496095
EGOBOX_0.15.3,100,100,0.0003469000002951361
EGOBOX_0.15.3,100,250,0.0005504400003701448
EGOBOX_0.15.3,100,500,0.0010648600000422448
EGOBOX_0.15.3,100,1000,0.0018472799994924572
EGOBOX_0.15.3,200,10,0.0004300399996282067
EGOBOX_0.15.3,200,50,0.0005907599996135104
EGOBOX_0.15.3,200,100,0.0006985400003031827
EGOBOX_0.15.3,200,250,0.0011425800003053155
EGOBOX_0.15.3,200,500,0.0020276600000215693
EGOBOX_0.15.3,200,1000,0.006416080000053626
EGOBOX_0.15.3,500,10,0.002434240000002319
EGOBOX_0.15.3,500,50,0.0025794799999857786
EGOBOX_0.15.3,500,100,0.002730639999936102
EGOBOX_0.15.3,500,250,0.00376715999955195
EGOBOX_0.15.3,500,500,0.009140080000361196
EGOBOX_0.15.3,500,1000,0.01934454000002006
