lib,dim,nb_points,time
SMT_2.3.0,5,10,0.0020574400001351022
SMT_2.3.0,5,50,0.002820005000103265
SMT_2.3.0,5,100,0.0023149850001573215
SMT_2.3.0,5,250,0.0060841499998787185
SMT_2.3.0,5,500,0.008591200000046229
SMT_2.3.0,5,1000,0.03098141000009491
SMT_2.3.0,10,10,0.0023440500001015606
SMT_2.3.0,10,50,0.003090429999974731
SMT_2.3.0,10,100,0.003532144999917364
SMT_2.3.0,10,250,0.006400625000060245
SMT_2.3.0,10,500,0.010643175000041083
SMT_2.3.0,10,1000,0.035458770000150255
SMT_2.3.0,20,10,0.0036071000000447383
SMT_2.3.0,20,50,0.0026712199998655704
SMT_2.3.0,20,100,0.003622440000071947
SMT_2.3.0,20,250,0.00809482000004209
SMT_2.3.0,20,500,0.021941789999982576
SMT_2.3.0,20,1000,0.06178175499990175
SMT_2.3.0,100,10,0.011289064999982657
SMT_2.3.0,100,50,0.012124260000018695
SMT_2.3.0,100,100,0.01650187499999447
SMT_2.3.0,100,250,0.039945230000012086
SMT_2.3.0,100,500,0.0826655100001517
SMT_2.3.0,100,1000,0.180443170000035
SMT_2.3.0,200,10,0.023391335000087565
SMT_2.3.0,200,50,0.024439795000034792
SMT_2.3.0,200,100,0.03835262499997043
SMT_2.3.0,200,250,0.07274817999987135
SMT_2.3.0,200,500,0.16843590500011488
SMT_2.3.0,200,1000,0.3992907150000974
SMT_2.3.0,500,10,0.04437323000001925
SMT_2.3.0,500,50,0.050785735000135904
SMT_2.3.0,500,100,0.0749991399999999
SMT_2.3.0,500,250,0.1625452750000477
SMT_2.3.0,500,500,0.3378934450000088
SMT_2.3.0,500,1000,0.9323277000001327
EGOBOX_0.15.1,5,10,4.834999999729917e-05
EGOBOX_0.15.1,5,50,0.0003002199999173172
EGOBOX_0.15.1,5,100,0.001099160000012489
EGOBOX_0.15.1,5,250,0.0065242249998846095
EGOBOX_0.15.1,5,500,0.03425496999989264
EGOBOX_0.15.1,5,1000,0.13568923000002542
EGOBOX_0.15.1,10,10,5.980000005365582e-05
EGOBOX_0.15.1,10,50,0.0003730699998413911
EGOBOX_0.15.1,10,100,0.0024659450000399374
EGOBOX_0.15.1,10,250,0.012403124999946159
EGOBOX_0.15.1,10,500,0.0342588399998931
EGOBOX_0.15.1,10,1000,0.12285424999990938
EGOBOX_0.15.1,20,10,0.00010230499992758268
EGOBOX_0.15.1,20,50,0.0010312249998605694
EGOBOX_0.15.1,20,100,0.0034088149999661256
EGOBOX_0.15.1,20,250,0.012450659999922209
EGOBOX_0.15.1,20,500,0.0439330549999795
EGOBOX_0.15.1,20,1000,0.1690861750001204
EGOBOX_0.15.1,100,10,0.0011362649998773121
EGOBOX_0.15.1,100,50,0.001987894999911077
EGOBOX_0.15.1,100,100,0.007821154999874125
EGOBOX_0.15.1,100,250,0.03287744499994005
EGOBOX_0.15.1,100,500,0.0985729199999696
EGOBOX_0.15.1,100,1000,0.40246185500000137
EGOBOX_0.15.1,200,10,0.0008220849998906487
EGOBOX_0.15.1,200,50,0.002982339999834949
EGOBOX_0.15.1,200,100,0.008433845000035944
EGOBOX_0.15.1,200,250,0.04651902499990683
EGOBOX_0.15.1,200,500,0.17745087999992393
EGOBOX_0.15.1,200,1000,0.7398231149998538
EGOBOX_0.15.1,500,10,0.0033932199999981093
EGOBOX_0.15.1,500,50,0.008978939999906288
EGOBOX_0.15.1,500,100,0.023558224999942468
EGOBOX_0.15.1,500,250,0.11370658999985608
EGOBOX_0.15.1,500,500,0.43925085499995475
EGOBOX_0.15.1,500,1000,1.7408748500000002
