lib,dim,nb_points,time
SMT_2.3.0,5,10,0.002232720000029076
SMT_2.3.0,5,50,0.002020079999783775
SMT_2.3.0,5,100,0.003931960000045365
SMT_2.3.0,5,250,0.0026511399999435527
SMT_2.3.0,5,500,0.005960300000151619
SMT_2.3.0,5,1000,0.02153394000051776
SMT_2.3.0,10,10,0.003605520000564866
SMT_2.3.0,10,50,0.0045984000003954865
SMT_2.3.0,10,100,0.005987800000002608
SMT_2.3.0,10,250,0.010913140000047861
SMT_2.3.0,10,500,0.011551480000343872
SMT_2.3.0,10,1000,0.048418139999557755
SMT_2.3.0,20,10,0.0032404400000814347
SMT_2.3.0,20,50,0.0028197799998451955
SMT_2.3.0,20,100,0.004376100000081351
SMT_2.3.0,20,250,0.00921918000021833
SMT_2.3.0,20,500,0.01909726000012597
SMT_2.3.0,20,1000,0.0704704200004926
SMT_2.3.0,100,10,0.0165052199998172
SMT_2.3.0,100,50,0.012918580000405199
SMT_2.3.0,100,100,0.017377139999734937
SMT_2.3.0,100,250,0.03622772000016994
SMT_2.3.0,100,500,0.07763773999977275
SMT_2.3.0,100,1000,0.18527918000036153
SMT_2.3.0,200,10,0.013974960000632563
SMT_2.3.0,200,50,0.02126029999999446
SMT_2.3.0,200,100,0.0331845799999428
SMT_2.3.0,200,250,0.0566272600000957
SMT_2.3.0,200,500,0.1432740600001125
SMT_2.3.0,200,1000,0.4763050400004431
SMT_2.3.0,500,10,0.045165500000439354
SMT_2.3.0,500,50,0.05228353999991668
SMT_2.3.0,500,100,0.1051476400003594
SMT_2.3.0,500,250,0.19263080000018817
SMT_2.3.0,500,500,0.44515253999998095
SMT_2.3.0,500,1000,1.0751334799999313
EGOBOX_0.15.3,5,10,0.00010735999967437238
EGOBOX_0.15.3,5,50,0.0003067199999350123
EGOBOX_0.15.3,5,100,0.0008971800001745578
EGOBOX_0.15.3,5,250,0.004484219999721972
EGOBOX_0.15.3,5,500,0.010239360000559828
EGOBOX_0.15.3,5,1000,0.04874387999952887
EGOBOX_0.15.3,10,10,5.947999961790629e-05
EGOBOX_0.15.3,10,50,0.0001602399999683257
EGOBOX_0.15.3,10,100,0.00041514000040479007
EGOBOX_0.15.3,10,250,0.0021345000001019797
EGOBOX_0.15.3,10,500,0.012440819999756058
EGOBOX_0.15.3,10,1000,0.04786542000001646
EGOBOX_0.15.3,20,10,0.00026085999998031183
EGOBOX_0.15.3,20,50,0.0002680799996596761
EGOBOX_0.15.3,20,100,0.002202959999704035
EGOBOX_0.15.3,20,250,0.008188440000230912
EGOBOX_0.15.3,20,500,0.02892178000038257
EGOBOX_0.15.3,20,1000,0.06836651999983587
EGOBOX_0.15.3,100,10,0.0011241200001677499
EGOBOX_0.15.3,100,50,0.0030958399998780805
EGOBOX_0.15.3,100,100,0.005344180000247434
EGOBOX_0.15.3,100,250,0.021691879999707453
EGOBOX_0.15.3,100,500,0.07855758000005153
EGOBOX_0.15.3,100,1000,0.29346027999999935
EGOBOX_0.15.3,200,10,0.002202699999907054
EGOBOX_0.15.3,200,50,0.0059974999996484256
EGOBOX_0.15.3,200,100,0.010534439999901224
EGOBOX_0.15.3,200,250,0.03813951999982237
EGOBOX_0.15.3,200,500,0.2091876200000115
EGOBOX_0.15.3,200,1000,0.6416879800002789
EGOBOX_0.15.3,500,10,0.0027215399997658095
EGOBOX_0.15.3,500,50,0.018285479999758537
EGOBOX_0.15.3,500,100,0.03746097999974154
EGOBOX_0.15.3,500,250,0.1311931000003824
EGOBOX_0.15.3,500,500,0.4411520800000289
EGOBOX_0.15.3,500,1000,1.8360659199999645
