lib,dim,nb_points,time
SMT_2.3.0,5,10,1.0473661800000627
SMT_2.3.0,5,50,0.95540114000014
SMT_2.3.0,5,100,1.2090610549999838
SMT_2.3.0,5,250,1.6179171199999474
SMT_2.3.0,5,500,2.2545411349999993
SMT_2.3.0,5,1000,3.5437559800000598
SMT_2.3.0,10,10,1.8070792849999635
SMT_2.3.0,10,50,2.051151335000031
SMT_2.3.0,10,100,2.538699559999986
SMT_2.3.0,10,250,3.4861462050001135
SMT_2.3.0,10,500,4.855240690000028
SMT_2.3.0,10,1000,8.803431374999855
SMT_2.3.0,20,10,3.657730724999965
SMT_2.3.0,20,50,4.138269414999923
SMT_2.3.0,20,100,5.2008307250000145
SMT_2.3.0,20,250,7.304327379999995
SMT_2.3.0,20,500,10.984807600000021
SMT_2.3.0,20,1000,21.664632209999944
SMT_2.3.0,100,10,3.7388515599999663
SMT_2.3.0,100,50,4.487798610000027
SMT_2.3.0,100,100,5.970140785000149
SMT_2.3.0,100,250,13.48244840999996
SMT_2.3.0,100,500,21.498671355000077
SMT_2.3.0,100,1000,49.14627990000008
SMT_2.3.0,200,10,3.7931479499999115
SMT_2.3.0,200,50,4.861295599999721
SMT_2.3.0,200,100,7.5659338099998426
SMT_2.3.0,200,250,16.251877215000057
SMT_2.3.0,200,500,41.2715346099998
SMT_2.3.0,200,1000,106.35559529499987
SMT_2.3.0,500,10,4.078483229999984
SMT_2.3.0,500,50,7.471688189999986
SMT_2.3.0,500,100,13.763803434999863
SMT_2.3.0,500,250,43.19292542000003
SMT_2.3.0,500,500,852.5721885999999
SMT_2.3.0,500,1000,251.61615014499984
EGOBOX_0.15.1,5,10,0.03466977999996743
EGOBOX_0.15.1,5,50,0.12412586499995086
EGOBOX_0.15.1,5,100,0.21964787500000965
EGOBOX_0.15.1,5,250,0.5487496800000372
EGOBOX_0.15.1,5,500,1.0710029950001627
EGOBOX_0.15.1,5,1000,2.151188634999926
EGOBOX_0.15.1,10,10,0.07758269000005384
EGOBOX_0.15.1,10,50,0.26570191999999226
EGOBOX_0.15.1,10,100,0.5187330199998541
EGOBOX_0.15.1,10,250,1.2377055149998342
EGOBOX_0.15.1,10,500,2.49060513000004
EGOBOX_0.15.1,10,1000,5.045924939999895
EGOBOX_0.15.1,20,10,0.15631094999989728
EGOBOX_0.15.1,20,50,0.6060391099999833
EGOBOX_0.15.1,20,100,1.1408046249998733
EGOBOX_0.15.1,20,250,2.8623041449998707
EGOBOX_0.15.1,20,500,5.695284784999967
EGOBOX_0.15.1,20,1000,11.887591850000172
EGOBOX_0.15.1,100,10,0.2477152200001001
EGOBOX_0.15.1,100,50,1.221362390000286
EGOBOX_0.15.1,100,100,2.47007279999998
EGOBOX_0.15.1,100,250,7.236198145000162
EGOBOX_0.15.1,100,500,16.856694385000083
EGOBOX_0.15.1,100,1000,37.744888119999814
EGOBOX_0.15.1,200,10,0.4151595100000122
EGOBOX_0.15.1,200,50,2.1256083899999796
EGOBOX_0.15.1,200,100,4.6826938499998505
EGOBOX_0.15.1,200,250,14.168482654999753
EGOBOX_0.15.1,200,500,33.51513783999981
EGOBOX_0.15.1,200,1000,120.34959960000015
EGOBOX_0.15.1,500,10,0.9201283700000203
EGOBOX_0.15.1,500,50,5.7191768250002495
EGOBOX_0.15.1,500,100,13.42627336499936
EGOBOX_0.15.1,500,250,73.12513943499944
EGOBOX_0.15.1,500,500,157.05147816000027
EGOBOX_0.15.1,500,1000,322.85331287500014
