lib,dim,nb_points,time
SMT_2.9.0,5,10,0.8879492799984291
SMT_2.9.0,5,50,1.0377482399984728
SMT_2.9.0,5,100,1.2548215200018604
SMT_2.9.0,5,250,1.6380424999981187
SMT_2.9.0,5,500,2.2692445399996357
SMT_2.9.0,5,1000,3.5803641800011974
SMT_2.9.0,10,10,1.8616884999966714
SMT_2.9.0,10,50,2.170733560004737
SMT_2.9.0,10,100,2.5970572200021707
SMT_2.9.0,10,250,3.5662007600010837
SMT_2.9.0,10,500,5.081461080000736
SMT_2.9.0,10,1000,8.062745239998913
SMT_2.9.0,20,10,3.8517611199989914
SMT_2.9.0,20,50,4.282974640000612
SMT_2.9.0,20,100,5.281483560003108
SMT_2.9.0,20,250,7.581484359997558
SMT_2.9.0,20,500,12.098806659999536
SMT_2.9.0,20,1000,21.084556839999276
SMT_2.9.0,100,10,4.079867580003338
SMT_2.9.0,100,50,5.267829799995525
SMT_2.9.0,100,100,6.501397400000132
SMT_2.9.0,100,250,12.966366939997533
SMT_2.9.0,100,500,24.664366540004266
SMT_2.9.0,100,1000,54.68715419999789
SMT_2.9.0,200,10,4.694270939996931
SMT_2.9.0,200,50,6.0559389400004875
SMT_2.9.0,200,100,9.457194619998337
SMT_2.9.0,200,250,18.793771319999358
SMT_2.9.0,200,500,46.959736459999114
SMT_2.9.0,200,1000,114.53478947999538
SMT_2.9.0,500,10,4.8370465399988465
SMT_2.9.0,500,50,8.287631699995837
SMT_2.9.0,500,100,14.907221920002485
SMT_2.9.0,500,250,47.04573597999988
SMT_2.9.0,500,500,129.72612764000078
SMT_2.9.0,500,1000,245.03501590000232
EGOBOX_0.25.1,5,10,0.09008205999853089
EGOBOX_0.25.1,5,50,0.1293631999986246
EGOBOX_0.25.1,5,100,0.2563713999988977
EGOBOX_0.25.1,5,250,0.5966325799992773
EGOBOX_0.25.1,5,500,1.171065899997484
EGOBOX_0.25.1,5,1000,2.350488199997926
EGOBOX_0.25.1,10,10,0.08076586000388489
EGOBOX_0.25.1,10,50,0.2916965400043409
EGOBOX_0.25.1,10,100,0.5445173000043724
EGOBOX_0.25.1,10,250,1.4152664799999912
EGOBOX_0.25.1,10,500,2.7083211200020743
EGOBOX_0.25.1,10,1000,5.378058579994831
EGOBOX_0.25.1,20,10,0.1741970399976708
EGOBOX_0.25.1,20,50,0.6563334400008898
EGOBOX_0.25.1,20,100,1.2850856799981556
EGOBOX_0.25.1,20,250,3.1819494399998804
EGOBOX_0.25.1,20,500,6.176478900003713
EGOBOX_0.25.1,20,1000,14.278017779998482
EGOBOX_0.25.1,100,10,0.3127724599966314
EGOBOX_0.25.1,100,50,1.465156460000435
EGOBOX_0.25.1,100,100,2.9539711599994916
EGOBOX_0.25.1,100,250,7.2750325000029985
EGOBOX_0.25.1,100,500,16.89474723999738
EGOBOX_0.25.1,100,1000,36.977045820001514
EGOBOX_0.25.1,200,10,0.4377097600023262
EGOBOX_0.25.1,200,50,2.2967758400016463
EGOBOX_0.25.1,200,100,5.019842580001568
EGOBOX_0.25.1,200,250,15.029877759999362
EGOBOX_0.25.1,200,500,32.18178702000296
EGOBOX_0.25.1,200,1000,115.87624139999971
EGOBOX_0.25.1,500,10,0.9532777799991891
EGOBOX_0.25.1,500,50,5.80754181999946
EGOBOX_0.25.1,500,100,12.679770039999857
EGOBOX_0.25.1,500,250,46.978149000002304
EGOBOX_0.25.1,500,500,149.33936394000193
EGOBOX_0.25.1,500,1000,298.18498998000285
